,count,unique,top,freq,mean,std,min,25%,50%,75%,max
yr_mfr,4999.0,,,,2013.893778755751,3.0928216117438136,1996.0,2012.0,2014.0,2016.0,2020.0
kms_run,4999.0,,,,62753.69413882776,44017.1637729024,379.0,32399.5,55941.0,83620.0,996609.0
times_viewed,4999.0,,,,1558.2662532506502,2156.7183670032605,3.0,554.0,1089.0,1929.5,61930.0
assured_buy,4999,2,True,4153,,,,,,,
is_hot,4999,2,True,4617,,,,,,,
total_owners,4999.0,,,,1.3276655331066214,0.5806820541513886,1.0,1.0,1.0,2.0,6.0
fitness_certificate,4996.0,,,,0.9811849479583667,0.1358850314176682,0.0,1.0,1.0,1.0,1.0
reserved,4999,2,False,3927,,,,,,,
warranty_avail,4999,2,False,4854,,,,,,,
ad_year,4999.0,,,,2020.8183636727344,0.4910308416826658,2019.0,2021.0,2021.0,2021.0,2021.0
ad_month,4999.0,,,,3.7479495899179835,2.398329437399177,1.0,3.0,3.0,4.0,12.0
car_age,4999.0,,,,6.924584916983397,3.0517927646502963,1.0,5.0,7.0,9.0,24.0
km_per_year,4999.0,,,,8166.948849526685,5590.0338688618485,189.5,4573.2,6979.111111111111,10479.738095238095,119968.0
log_kms_run,4999.0,,,,10.789303778998608,0.8048896367868043,5.940171252720432,10.385929119352502,10.932070718708905,11.334049961126368,13.812114798895093
log_km_per_year,4999.0,,,,8.805530321163433,0.6688825524186933,5.249652194566756,8.428187096880546,8.850820114127014,9.257294383584227,11.694988655057047
age_km_interaction,4999.0,,,,75.90971129990737,35.29640015394337,5.940171252720432,49.29927702661791,74.85998160432453,102.09639915727922,242.30416642335666
car_age_squared,4999.0,,,,57.261452290458095,45.80633956854817,1.0,25.0,49.0,81.0,576.0
is_newer_car,4999.0,,,,0.15123024604920984,0.3583090020272069,0.0,0.0,0.0,0.0,1.0
is_old_car,4999.0,,,,0.21624324864972994,0.4117232274821858,0.0,0.0,0.0,0.0,1.0
high_mileage,4999.0,,,,0.4998999799959992,0.5000500075012503,0.0,0.0,0.0,1.0,1.0
log_times_viewed,4999.0,,,,6.890006899004575,1.018130993188631,1.3862943611198906,6.318968113746434,6.993932975223189,7.565534282163723,11.033776141064779
owners_per_year,4999.0,,,,0.1911760395375648,0.10073066400080885,0.04,0.1111111111111111,0.16666666666666666,0.25,1.0
car_name,4999,176,maruti swift,373,,,,,,,
fuel_type,4999,5,petrol,3151,,,,,,,
city,4999,13,mumbai,917,,,,,,,
body_type,4932,5,hatchback,2954,,,,,,,
transmission,4639,2,manual,4232,,,,,,,
variant,4999,780,vxi,464,,,,,,,
registered_city,4992,200,delhi,668,,,,,,,
registered_state,4992,15,maharashtra,1427,,,,,,,
rto,4999,235,mh02,262,,,,,,,
source,4912,3,inperson_sale,4624,,,,,,,
make,4999,27,maruti,2177,,,,,,,
model,4999,176,swift,373,,,,,,,
car_availability,4592,4,in_stock,4405,,,,,,,
car_rating,4993,4,great,4234,,,,,,,
make_model,4999,176,maruti_swift,373,,,,,,,
make_body_type,4999,72,maruti_hatchback,1466,,,,,,,
fuel_transmission,4999,13,petrol_manual,2664,,,,,,,
sale_price,4999.0,,,,454969.24944989,283891.58733913116,35.0,280799.0,382499.0,542649.0,3866000.0
