feature,importance_mean,importance_std
body_type,0.42928113892638287,0.00904697048282035
yr_mfr,0.07359222805082537,0.00955835956941479
make,0.06524971467075613,0.0036559828877074916
car_age_squared,0.04860680596128597,0.008522975614808978
car_age,0.045576608477072345,0.008518854112153201
age_km_interaction,0.03868043516384756,0.007271920251556579
transmission,0.025123106996662314,0.0017798172306955093
make_model,0.022891755756277332,0.0005641378790959973
model,0.022737256485585333,0.00045802612376974185
car_name,0.021613721820444853,0.0003755946168308151
make_body_type,0.017638645216887072,0.0018618343907306689
fuel_type,0.015310074463778078,0.0004541893089612421
fuel_transmission,0.01068468143471124,0.0007025499336114589
registered_state,0.009101296672663942,0.000696309874579277
kms_run,0.007827369049511645,0.0032161765938387454
is_hot,0.006954585543738882,0.0016516563283242112
variant,0.005526442679422705,0.0011432925187986355
ad_year,0.004538746939372247,0.0017365571540367364
times_viewed,0.003204379022376395,0.0006514670303771368
city,0.002249513878691878,0.0008993848974103999
ad_month,0.0012772329324331293,0.0008354489643686963
total_owners,0.0009992756012458341,0.0012959084398732985
high_mileage,0.0005687042204901941,0.0008542441516364339
car_rating,0.0005411714811105103,0.0008514983735661495
source,0.0005137992676100452,7.729430684463277e-05
reserved,0.00047752206409290565,0.0012135926960293527
km_per_year,0.0004023366394804902,0.0001251844714672809
is_newer_car,0.00036699056288895066,6.26081253580607e-05
log_kms_run,6.520577769127585e-05,0.0010658315820878982
fitness_certificate,0.0,0.0
rto,-0.00015946008202686693,0.00099473467892085
warranty_avail,-0.0001676443347787826,0.0002048550887306039
car_availability,-0.0003874662477417005,0.0002935589159606042
assured_buy,-0.001004923080500042,0.00026345116387441073
log_km_per_year,-0.0011344470300738152,0.0009931834223626166
is_old_car,-0.0016029334166259845,0.0008695313141167167
owners_per_year,-0.0017400696516159941,0.00048671241557481527
registered_city,-0.0029717020413349373,0.0015792332119970896
log_times_viewed,-0.005183274600912724,0.001989959289843833
