,missing_count,missing_percent
car_availability,298,6.62
transmission,275,6.11
source,60,1.33
body_type,47,1.04
registered_city,3,0.07
registered_state,3,0.07
car_rating,1,0.02
yr_mfr,0,0.0
warranty_avail,0,0.0
kms_run,0,0.0
times_viewed,0,0.0
assured_buy,0,0.0
is_hot,0,0.0
total_owners,0,0.0
fitness_certificate,0,0.0
reserved,0,0.0
city,0,0.0
fuel_type,0,0.0
car_name,0,0.0
high_mileage,0,0.0
is_old_car,0,0.0
km_per_year,0,0.0
car_age,0,0.0
variant,0,0.0
make,0,0.0
rto,0,0.0
model,0,0.0
brand,0,0.0
make_model,0,0.0
make_body_type,0,0.0
fuel_transmission,0,0.0
sale_price,0,0.0
