feature,importance,coefficient
feature_678,0.8846026069279282,-0.8846026069279282
feature_696,0.7882432839728455,0.7882432839728455
feature_706,0.7176950671141628,-0.7176950671141628
feature_674,0.5897751853836285,0.5897751853836285
feature_130,0.5268504755355282,0.5268504755355282
feature_707,0.5113838313195603,0.5113838313195603
feature_681,0.4590531394657901,-0.4590531394657901
feature_102,0.4228945959786917,-0.4228945959786917
feature_659,0.4228945959786901,-0.4228945959786901
feature_456,0.4228945959786899,-0.4228945959786899
feature_126,0.4028286935359019,-0.4028286935359019
feature_562,0.38161087658408843,0.38161087658408843
feature_441,0.38161087658408716,0.38161087658408716
feature_689,0.3816108765840859,0.3816108765840859
feature_105,0.3761921393954314,-0.3761921393954314
feature_662,0.3761921393954301,-0.3761921393954301
feature_528,0.37619213939542895,-0.37619213939542895
feature_688,0.36863424436277675,-0.36863424436277675
feature_308,0.35425310067149884,0.35425310067149884
feature_693,0.3379595515915709,-0.3379595515915709
feature_143,0.3173998334951978,-0.3173998334951978
feature_599,0.31277401088783247,-0.31277401088783247
feature_505,0.31277401088783247,-0.31277401088783247
feature_42,0.31277401088783247,-0.31277401088783247
feature_497,0.3104435522025052,-0.3104435522025052
feature_660,0.3104435522025052,-0.3104435522025052
feature_103,0.3104435522024994,-0.3104435522024994
feature_701,0.3060419535756352,-0.3060419535756352
feature_360,0.3017782959450518,-0.3017782959450518
feature_648,0.2963335476679645,-0.2963335476679645
feature_91,0.2963335476679631,-0.2963335476679631
feature_503,0.2963335476679616,-0.2963335476679616
feature_447,0.2872837993861166,0.2872837993861166
feature_568,0.28728379938611615,0.28728379938611615
feature_514,0.2815813389508475,0.2815813389508475
feature_93,0.28158133895084747,0.28158133895084747
feature_650,0.28158133895084725,0.28158133895084725
feature_680,0.2703380780295277,-0.2703380780295277
feature_687,0.2622391217174324,0.2622391217174324
feature_330,0.26197840432599784,-0.26197840432599784
feature_421,0.25882079398250357,0.25882079398250357
feature_435,0.2554122031642201,-0.2554122031642201
feature_556,0.25541220316421925,-0.25541220316421925
feature_433,0.24626868366730664,-0.24626868366730664
feature_554,0.24626868366730653,-0.24626868366730653
feature_341,0.24503728979616854,0.24503728979616854
feature_438,0.24441697848046887,0.24441697848046887
feature_559,0.2444169784804688,0.2444169784804688
feature_708,0.24423964253482305,0.24423964253482305
feature_461,0.24404871379478285,-0.24404871379478285
feature_584,0.24404871379478163,-0.24404871379478163
feature_27,0.24404871379478116,-0.24404871379478116
feature_679,0.24315573768183318,-0.24315573768183318
feature_553,0.24123962404379187,0.24123962404379187
feature_432,0.24123962404379165,0.24123962404379165
feature_573,0.23957058925708807,0.23957058925708807
feature_667,0.23957058925708796,0.23957058925708796
feature_470,0.23957058925708763,0.23957058925708763
feature_16,0.23957058925708621,0.23957058925708621
feature_323,0.2373349164655949,0.2373349164655949
feature_485,0.22757954970789865,0.22757954970789865
feature_703,0.22757954970789865,0.22757954970789865
feature_657,0.22757954970789832,0.22757954970789832
feature_100,0.22757954970789598,0.22757954970789598
feature_482,0.22657825638184823,-0.22657825638184823
feature_643,0.22657825638184736,-0.22657825638184736
feature_86,0.22657825638184403,-0.22657825638184403
feature_666,0.222398427184817,-0.222398427184817
feature_625,0.21877724747893174,-0.21877724747893174
feature_507,0.21877724747893018,-0.21877724747893018
feature_68,0.21877724747892846,-0.21877724747892846
feature_227,0.21868933774052773,0.21868933774052773
feature_555,0.20872586475635538,-0.20872586475635538
feature_434,0.2087258647563545,-0.2087258647563545
feature_668,0.20872586475635363,-0.20872586475635363
feature_552,0.19500008226558388,-0.19500008226558388
feature_226,0.18968467484611637,0.18968467484611637
feature_355,0.1883324126049867,0.1883324126049867
feature_417,0.18711565774628194,-0.18711565774628194
feature_237,0.18691314205955456,-0.18691314205955456
feature_649,0.18503207259347831,0.18503207259347831
feature_506,0.18503207259347693,0.18503207259347693
feature_92,0.18503207259347423,0.18503207259347423
feature_53,0.184875928894932,0.184875928894932
feature_610,0.18487592889492416,0.18487592889492416
feature_538,0.1848759288949241,0.1848759288949241
feature_64,0.184217943961781,-0.184217943961781
feature_621,0.18421794396177713,-0.18421794396177713
feature_476,0.1842179439617771,-0.1842179439617771
feature_496,0.18196612274878424,-0.18196612274878424
feature_588,0.1819661227487835,-0.1819661227487835
feature_31,0.18196612274877966,-0.18196612274877966
feature_199,0.17798421253208363,-0.17798421253208363
feature_278,0.17734299919948068,-0.17734299919948068
feature_695,0.17687684735667572,0.17687684735667572
feature_685,0.1767154995021158,-0.1767154995021158
feature_215,0.17307905415362032,0.17307905415362032
feature_281,0.17165010513033097,0.17165010513033097
feature_655,0.17156600955674536,-0.17156600955674536
feature_480,0.1715660095567452,-0.1715660095567452
feature_98,0.1715660095567432,-0.1715660095567432
feature_566,0.17126040888300384,-0.17126040888300384
feature_445,0.1712604088830017,-0.1712604088830017
feature_671,0.1691318747544666,-0.1691318747544666
feature_214,0.16752213403421837,-0.16752213403421837
feature_167,0.1670655650058742,0.1670655650058742
feature_168,0.16414634946721934,0.16414634946721934
feature_446,0.1631676450917792,0.1631676450917792
feature_567,0.163167645091778,0.163167645091778
feature_440,0.15608942448330435,-0.15608942448330435
feature_561,0.15608942448330237,-0.15608942448330237
feature_457,0.1539910720858999,0.1539910720858999
feature_616,0.15399107208589788,0.15399107208589788
feature_59,0.1539910720858968,0.1539910720858968
feature_428,0.1518758033102043,0.1518758033102043
