feature,importance_mean,importance_std
make_body_type,3.1364956640760213,0.0882316229162208
make,0.48274784526026204,0.03964428881761408
brand,0.48274784526025744,0.03964428881761371
yr_mfr,0.15789265541019123,0.009020613827773485
car_age,0.15789265541016742,0.009020613827772674
registered_state,0.1494239075005002,0.02164088825153986
car_name,0.13075850632593858,0.0012411930480898288
model,0.13075850632593786,0.001241193048090079
make_model,0.13075850632593752,0.0012411930480901658
body_type,0.07719852235815883,0.013650666264488978
rto,0.0726022315219262,0.003993085670324494
kms_run,0.05902100216364244,0.003889456104729683
city,0.05490277846864492,0.0023848089576213997
is_hot,0.05254441003913746,0.002444497604926267
registered_city,0.03791404864535205,0.00500461029636016
variant,0.03468497043066876,0.003292546767177091
fuel_type,0.0156748853034339,0.0028944030653777165
source,0.013022205000647732,0.001112885201000403
transmission,0.012413047340642192,0.0017690416694706207
km_per_year,0.007799186591031108,0.0005380947703997441
fuel_transmission,0.00619403728583386,0.00042387742199144485
is_old_car,0.004315256417723938,0.0013603431427600893
total_owners,0.004017468643004525,0.0007201204654270442
times_viewed,0.0015137697947554078,0.001111703469936652
car_rating,0.0014245018848606146,0.00016205158733308486
car_availability,0.0008036599033660238,0.00034391918081974246
high_mileage,0.00011482530384721024,0.0004958598772378203
fitness_certificate,0.0,0.0
warranty_avail,-7.859473658962853e-05,0.00010896938037369117
assured_buy,-9.354877114542415e-05,3.3132828481007147e-05
reserved,-0.0009836769690427423,0.0008677351435251678
