actual,predicted,residual,absolute_error,absolute_percentage_error,yr_mfr,kms_run,times_viewed,assured_buy,is_hot,total_owners,fitness_certificate,reserved,warranty_avail,car_age,km_per_year,is_old_car,high_mileage,car_name,fuel_type,city,body_type,transmission,variant,registered_city,registered_state,rto,source,make,model,car_availability,car_rating,brand,make_model,make_body_type,fuel_transmission
937999.0,329470.2495131514,608528.7504868486,608528.7504868486,64.87520247749184,2012,90722,5452,True,True,2,1.0,False,False,14.0,6048.133333333333,1.0,1.0,audi a4,diesel,new delhi,luxury sedan,automatic,2.0 tdi premium plus,delhi,delhi,dl7c,inperson_sale,audi,a4,in_stock,great,audi,audi_a4,audi_luxury sedan,diesel_automatic
800000.0,391460.17160613235,408539.82839386765,408539.82839386765,51.067478549233456,2010,104743,448,False,False,2,1.0,False,False,16.0,6161.35294117647,1.0,1.0,bmw 5 series,diesel,new delhi,luxury sedan,automatic,520d,panchkula,haryana,hr36,online,bmw,5 series,,great,bmw,bmw_5 series,bmw_luxury sedan,diesel_automatic
215000.0,519488.4302525058,-304488.4302525058,304488.4302525058,141.6225256988399,2008,107631,411,False,False,1,1.0,False,True,18.0,5664.789473684211,1.0,1.0,toyota corolla altis,petrol,faridabad,,,1.8 g,new delhi,delhi,dl3c,online,toyota,corolla altis,in_stock,great,toyota,toyota_corolla altis,toyota_unknown,petrol_unknown
823799.0,551134.5660731272,272664.4339268728,272664.4339268728,33.098417687672935,2014,94389,2303,True,True,1,1.0,False,False,12.0,7260.692307692308,1.0,1.0,toyota corolla altis,petrol,new delhi,luxury sedan,automatic,vl at,delhi,delhi,dl2c,inperson_sale,toyota,corolla altis,in_stock,great,toyota,toyota_corolla altis,toyota_luxury sedan,petrol_automatic
726799.0,994745.8497739681,-267946.8497739681,267946.8497739681,36.86670589447263,2020,2151,301,True,True,1,1.0,False,False,6.0,307.2857142857143,0.0,0.0,renault triber,petrol,bengaluru,suv,,1.0 rxz,banglore-cafe dly,karnataka,ka03,inperson_sale,renault,triber,in_stock,great,renault,renault_triber,renault_suv,petrol_unknown
890399.0,684824.5054757869,205574.49452421314,205574.49452421314,23.08790716568787,2018,4220,1982,True,True,1,1.0,False,False,8.0,468.8888888888889,0.0,0.0,maruti ciaz,petrol,gurgaon,sedan,,alpha 1.5 at vtvt shvs,yamunanagar,haryana,hr02,inperson_sale,maruti,ciaz,pickup_pending,great,maruti,maruti_ciaz,maruti_sedan,petrol_unknown
635000.0,434788.30456672417,200211.69543327583,200211.69543327583,31.529400855633988,2015,76366,455,True,False,1,1.0,False,False,11.0,6363.833333333333,1.0,1.0,toyota etios,diesel,hyderabad,sedan,manual,vx d,hyderabad,telangana,ts08,online,toyota,etios,,good,toyota,toyota_etios,toyota_sedan,diesel_manual
912099.0,712086.528528097,200012.47147190303,200012.47147190303,21.92881161714935,2018,13259,1066,False,True,1,1.0,False,False,8.0,1473.2222222222222,0.0,0.0,volkswagen polo,petrol,bengaluru,hatchback,manual,gt tsi,bangalore central,karnataka,ka01,inperson_sale,volkswagen,polo,in_stock,great,volkswagen,volkswagen_polo,volkswagen_hatchback,petrol_manual
310000.0,499424.1791073052,-189424.1791073052,189424.1791073052,61.10457390558231,2006,176441,226,True,False,2,1.0,False,False,20.0,8401.952380952382,1.0,1.0,toyota innova,diesel,hyderabad,suv,manual,2.5 e,hyderabad,telangana,ts09,online,toyota,innova,in_stock,overpriced,toyota,toyota_innova,toyota_suv,diesel_manual
865399.0,677194.0271130649,188204.9728869351,188204.9728869351,21.74776870402382,2015,60362,3679,True,True,2,1.0,False,False,11.0,5030.166666666667,1.0,1.0,mahindra scorpio,diesel,ghaziabad,suv,manual,s8,delhi,delhi,dl7c,inperson_sale,mahindra,scorpio,in_stock,great,mahindra,mahindra_scorpio,mahindra_suv,diesel_manual
922199.0,741675.3970909449,180523.60290905507,180523.60290905507,19.575341429458835,2012,150911,2327,True,True,1,1.0,True,False,14.0,10060.733333333334,1.0,1.0,toyota innova,diesel,hyderabad,suv,manual,2.5 vx 8 str bs iv,hyderabad,telangana,ap09,inperson_sale,toyota,innova,in_stock,great,toyota,toyota_innova,toyota_suv,diesel_manual
889099.0,712473.4624057681,176625.5375942319,176625.5375942319,19.86567722989587,2014,72547,2285,False,True,1,1.0,False,False,12.0,5580.538461538462,1.0,1.0,skoda octavia,diesel,mumbai,luxury sedan,automatic,elegance 2.0 tdi cr at,mumbai,maharashtra,mh02,inperson_sale,skoda,octavia,in_stock,great,skoda,skoda_octavia,skoda_luxury sedan,diesel_automatic
754299.0,577978.4355250198,176320.56447498023,176320.56447498023,23.375420685295914,2011,66145,3399,True,True,2,1.0,False,False,15.0,4134.0625,1.0,1.0,mercedes benz c class,petrol,mumbai,luxury sedan,manual,200 cgi avantgarde,thane,maharashtra,mh09,inperson_sale,mercedes benz,c class,in_stock,great,mercedes,mercedes benz_c class,mercedes benz_luxury sedan,petrol_manual
826299.0,659650.6200111454,166648.37998885463,166648.37998885463,20.168048126508037,2017,38359,3778,True,True,1,1.0,True,False,9.0,3835.9,0.0,0.0,skoda rapid,diesel,pune,sedan,automatic,style 1.5 tdi at,pune,maharashtra,mh14,inperson_sale,skoda,rapid,in_stock,great,skoda,skoda_rapid,skoda_sedan,diesel_automatic
504899.0,671485.4062627158,-166586.4062627158,166586.4062627158,32.99400598193219,2015,40621,1654,True,True,1,1.0,False,False,11.0,3385.0833333333335,1.0,0.0,honda mobilio,petrol,bengaluru,suv,manual,1.5 v i vtec,bengaluru,karnataka,ka05,inperson_sale,honda,mobilio,in_stock,great,honda,honda_mobilio,honda_suv,petrol_manual
852999.0,689069.4041353058,163929.59586469422,163929.59586469422,19.218029079130716,2015,19318,609,True,True,1,1.0,True,False,11.0,1609.8333333333333,1.0,0.0,volkswagen jetta,diesel,mumbai,sedan,automatic,highline tdi at,mumbai east,maharashtra,mh02,inperson_sale,volkswagen,jetta,,great,volkswagen,volkswagen_jetta,volkswagen_sedan,diesel_automatic
180000.0,341516.0591467263,-161516.05914672627,161516.05914672627,89.73114397040348,2011,80177,375,True,False,3,1.0,False,False,15.0,5011.0625,1.0,1.0,volkswagen polo,diesel,new delhi,hatchback,manual,trendline 1.2l diesel,rampur,uttar pradesh,up14,online,volkswagen,polo,,fair,volkswagen,volkswagen_polo,volkswagen_hatchback,diesel_manual
741199.0,580701.0456592803,160497.95434071973,160497.95434071973,21.653827695493348,2017,29736,902,False,True,1,1.0,False,False,9.0,2973.6,0.0,0.0,maruti dzire,diesel,mumbai,sedan,manual,vdi,badlapur,maharashtra,mh05,inperson_sale,maruti,dzire,in_stock,great,maruti,maruti_dzire,maruti_sedan,diesel_manual
600000.0,455086.935902712,144913.064097288,144913.064097288,24.152177349548,2014,92690,44,True,False,1,1.0,False,True,12.0,7130.0,1.0,1.0,hyundai verna,petrol,ahmedabad,sedan,manual,fluidic 1.6 sx vtvt opt,ahmedabad east,gujarat,gj27,online,hyundai,verna,,fair,hyundai,hyundai_verna,hyundai_sedan,petrol_manual
203099.0,347392.25511308777,-144293.25511308777,144293.25511308777,71.04577329927167,2010,123137,2405,False,True,1,1.0,True,False,16.0,7243.35294117647,1.0,1.0,hyundai accent,petrol & cng,ghaziabad,sedan,manual,executive,new delhi,delhi,dl10,inperson_sale,hyundai,accent,in_stock,good,hyundai,hyundai_accent,hyundai_sedan,petrol & cng_manual
390000.0,530648.8155678051,-140648.81556780508,140648.81556780508,36.063798863539766,2011,118777,607,False,False,2,1.0,False,True,15.0,7423.5625,1.0,1.0,hyundai sonata transform,diesel,gurgaon,luxury sedan,automatic,2.0 crdi at,gurgaon,haryana,hr26,online,hyundai,sonata transform,in_stock,overpriced,hyundai,hyundai_sonata transform,hyundai_luxury sedan,diesel_automatic
796199.0,934943.7350268979,-138744.73502689786,138744.73502689786,17.425886622175845,2018,92152,2315,True,True,1,1.0,False,False,8.0,10239.111111111111,0.0,1.0,mahindra thar,diesel,bengaluru,suv,manual,crde 4x4 bs iv,bengaluru,karnataka,ka03,inperson_sale,mahindra,thar,in_stock,great,mahindra,mahindra_thar,mahindra_suv,diesel_manual
432199.0,294600.31767735136,137598.68232264864,137598.68232264864,31.836881233563393,2019,8812,5673,True,True,1,1.0,True,False,7.0,1101.5,0.0,0.0,maruti new  wagon-r,petrol,ghaziabad,hatchback,,lxi 1.0 l,new delhi,delhi,dl3c,inperson_sale,maruti,new  wagon-r,in_stock,great,maruti,maruti_new  wagon-r,maruti_hatchback,petrol_unknown
917999.0,781528.9404933361,136470.05950666394,136470.05950666394,14.866035748041547,2018,40585,1789,True,True,2,1.0,False,False,8.0,4509.444444444444,0.0,0.0,hyundai verna,diesel,gurgaon,sedan,automatic,1.6 crdi sx + at,mahendragarh,haryana,hr26,inperson_sale,hyundai,verna,in_stock,great,hyundai,hyundai_verna,hyundai_sedan,diesel_automatic
567599.0,432403.8840971003,135195.1159028997,135195.1159028997,23.818772743239453,2015,22078,1199,True,True,2,1.0,True,False,11.0,1839.8333333333333,1.0,0.0,volkswagen vento,petrol,pune,sedan,,highline 1.2 tsi at,mumbai,maharashtra,mh01,inperson_sale,volkswagen,vento,in_stock,great,volkswagen,volkswagen_vento,volkswagen_sedan,petrol_unknown
808199.0,942749.6490737959,-134550.64907379588,134550.64907379588,16.64820781438679,2018,26989,1975,False,True,1,1.0,False,False,8.0,2998.777777777778,0.0,0.0,toyota yaris,petrol,mumbai,sedan,,j cvt,navi mumbai,maharashtra,mh43,inperson_sale,toyota,yaris,in_stock,great,toyota,toyota_yaris,toyota_sedan,petrol_unknown
795000.0,928838.854470141,-133838.854470141,133838.854470141,16.835076033980002,2020,10934,119,False,False,1,1.0,False,False,6.0,1562.0,0.0,0.0,maruti baleno,petrol,mumbai,hatchback,manual,alpha 1.2 k12,pune,maharashtra,mh14,customer_to_customer,maruti,baleno,,great,maruti,maruti_baleno,maruti_hatchback,petrol_manual
566999.0,435864.0265613447,131134.97343865532,131134.97343865532,23.127902066609522,2014,107789,275,True,True,1,1.0,False,False,12.0,8291.461538461539,1.0,1.0,maruti swift dzire,diesel,mumbai,sedan,manual,vdi bs iv,mumbai west,maharashtra,mh02,inperson_sale,maruti,swift dzire,in_stock,great,maruti,maruti_swift dzire,maruti_sedan,diesel_manual
468199.0,594594.6148768679,-126395.61487686785,126395.61487686785,26.996130892391452,2013,75088,1185,True,True,1,1.0,False,False,13.0,5363.428571428572,1.0,1.0,toyota corolla altis,petrol,mumbai,luxury sedan,automatic,g at,mumbai west,maharashtra,mh02,inperson_sale,toyota,corolla altis,in_stock,great,toyota,toyota_corolla altis,toyota_luxury sedan,petrol_automatic
